iter	Passed	Remaining
0	0	68
1	1	62
2	1	59
3	2	53
4	2	51
5	3	50
6	3	49
7	4	49
8	4	48
9	5	47
10	5	46
11	6	45
12	6	45
13	7	44
14	7	43
15	8	43
16	8	42
17	9	42
18	10	42
19	10	42
20	11	41
21	11	40
22	11	40
23	12	40
24	13	39
25	13	38
26	14	38
27	14	37
28	15	37
29	15	36
30	16	36
31	16	35
32	17	34
33	17	34
34	18	33
35	18	33
36	19	33
37	19	32
38	20	31
39	20	31
40	21	30
41	21	30
42	22	29
43	22	28
44	23	28
45	24	28
46	24	27
47	26	28
48	27	28
49	28	28
50	28	27
51	29	27
52	30	27
53	31	26
54	31	25
55	32	25
56	33	24
57	33	24
58	34	24
59	35	23
60	35	22
61	36	22
62	37	21
63	37	21
64	38	20
65	38	19
66	39	19
67	39	18
68	40	18
69	41	17
70	41	17
71	42	16
72	44	16
73	44	15
74	45	15
75	45	14
76	46	13
77	46	13
78	47	12
79	47	11
80	48	11
81	48	10
82	49	10
83	49	9
84	50	8
85	50	8
86	51	7
87	51	7
88	52	6
89	53	5
90	53	5
91	54	4
92	54	4
93	55	3
94	55	2
95	56	2
96	56	1
97	57	1
98	58	0
99	58	0
